date_from,date_to,country_code,destination_country,count
2022-01-03,2022-01-09,210,ARE,24613
2022-01-03,2022-01-09,211,AUS,2292
2022-01-03,2022-01-09,246,GRC,8393
2022-01-03,2022-01-09,983,TUR,74482
2022-01-03,2022-01-09,994,IND,5177
2022-01-03,2022-01-09,995,THA,27183
2022-01-03,2022-01-09,1056,EGY,28714
2022-01-03,2022-01-09,10074,PRT,1860
2022-01-03,2022-01-09,10077,ROU,5776
2022-01-03,2022-01-09,10083,HRV,3170
2022-01-03,2022-01-09,20574,CYP,6278
2022-01-03,2022-01-09,21610,MNE,3730
2022-01-10,2022-01-16,84,USA,27980
2022-01-10,2022-01-16,95,CAN,3649
2022-01-10,2022-01-16,96,DEU,42267
2022-01-10,2022-01-16,102,GBR,9649
2022-01-10,2022-01-16,113,AUT,3772
2022-01-10,2022-01-16,114,BEL,2723
2022-01-10,2022-01-16,115,BGR,9564
2022-01-10,2022-01-16,116,HUN,7156
2022-01-10,2022-01-16,117,LTU,8173
2022-01-10,2022-01-16,118,NLD,9438
2022-01-10,2022-01-16,119,NOR,2738
2022-01-10,2022-01-16,120,POL,23645
2022-01-10,2022-01-16,121,SVK,2089
2022-01-10,2022-01-16,122,SVN,1788
2022-01-10,2022-01-16,123,FIN,13874
2022-01-10,2022-01-16,124,FRA,12035
2022-01-10,2022-01-16,125,CZE,10272
2022-01-10,2022-01-16,126,CHE,2770
2022-01-10,2022-01-16,127,SWE,9701
2022-01-10,2022-01-16,159,KAZ,555332
2022-01-10,2022-01-16,167,AZE,18595
2022-01-10,2022-01-16,168,ARM,27333
2022-01-10,2022-01-16,169,GEO,17959
2022-01-10,2022-01-16,171,UZB,79650
2022-01-10,2022-01-16,179,EST,9007
2022-01-10,2022-01-16,180,SRB,11189
2022-01-10,2022-01-16,181,ISR,15086
2022-01-10,2022-01-16,204,ESP,15980
2022-01-10,2022-01-16,205,ITA,9327
2022-01-10,2022-01-16,206,LVA,11559
2022-01-10,2022-01-16,207,KGZ,70613
2022-01-10,2022-01-16,209,TJK,75024
2022-01-10,2022-01-16,210,ARE,19101
2022-01-10,2022-01-16,211,AUS,2010
2022-01-10,2022-01-16,246,GRC,6949
2022-01-10,2022-01-16,983,TUR,58807
2022-01-10,2022-01-16,994,IND,5730
2022-01-10,2022-01-16,995,THA,26968
2022-01-10,2022-01-16,1056,EGY,22517
2022-01-10,2022-01-16,10074,PRT,1720
2022-01-10,2022-01-16,10077,ROU,5375
2022-01-10,2022-01-16,10083,HRV,2351
2022-01-10,2022-01-16,20574,CYP,5542
2022-01-10,2022-01-16,21610,MNE,3035
2022-01-17,2022-01-23,84,USA,27485
2022-01-17,2022-01-23,95,CAN,5376
2022-01-17,2022-01-23,96,DEU,41527
2022-01-17,2022-01-23,102,GBR,10142
2022-01-17,2022-01-23,113,AUT,3889
2022-01-17,2022-01-23,114,BEL,2788
2022-01-17,2022-01-23,115,BGR,8325
2022-01-17,2022-01-23,116,HUN,6616
2022-01-17,2022-01-23,117,LTU,8389
2022-01-17,2022-01-23,118,NLD,9758
2022-01-17,2022-01-23,119,NOR,3969
2022-01-17,2022-01-23,120,POL,22325
2022-01-17,2022-01-23,121,SVK,2174
2022-01-17,2022-01-23,122,SVN,1584
2022-01-17,2022-01-23,123,FIN,14584
2022-01-17,2022-01-23,124,FRA,11942
2022-01-17,2022-01-23,125,CZE,10445
2022-01-17,2022-01-23,126,CHE,2574
2022-01-17,2022-01-23,127,SWE,10198
2022-01-17,2022-01-23,159,KAZ,667157
2022-01-17,2022-01-23,167,AZE,17703
2022-01-17,2022-01-23,168,ARM,25920
2022-01-17,2022-01-23,169,GEO,16953
2022-01-17,2022-01-23,171,UZB,81652
2022-01-17,2022-01-23,179,EST,8747
2022-01-17,2022-01-23,180,SRB,9406
2022-01-17,2022-01-23,181,ISR,14243
2022-01-17,2022-01-23,204,ESP,15033
2022-01-17,2022-01-23,205,ITA,8949
2022-01-17,2022-01-23,206,LVA,11362
2022-01-17,2022-01-23,207,KGZ,75459
2022-01-17,2022-01-23,209,TJK,80254
2022-01-17,2022-01-23,210,ARE,16456
2022-01-17,2022-01-23,211,AUS,1936
2022-01-17,2022-01-23,246,GRC,5608
2022-01-17,2022-01-23,983,TUR,53361
2022-01-17,2022-01-23,994,IND,6348
2022-01-17,2022-01-23,995,THA,26320
2022-01-17,2022-01-23,1056,EGY,20755
2022-01-17,2022-01-23,10074,PRT,1561
2022-01-17,2022-01-23,10077,ROU,4821
2022-01-17,2022-01-23,10083,HRV,2476
2022-01-17,2022-01-23,20574,CYP,5267
2022-01-17,2022-01-23,21610,MNE,3401
2022-01-24,2022-01-30,84,USA,26988
2022-01-24,2022-01-30,95,CAN,5803
2022-01-24,2022-01-30,96,DEU,40218
2022-01-24,2022-01-30,102,GBR,9067
2022-01-24,2022-01-30,113,AUT,3929
2022-01-24,2022-01-30,114,BEL,2386
2022-01-24,2022-01-30,115,BGR,7244
2022-01-24,2022-01-30,116,HUN,6246
2022-01-24,2022-01-30,117,LTU,8113
2022-01-24,2022-01-30,118,NLD,7132
2022-01-24,2022-01-30,119,NOR,2578
2022-01-24,2022-01-30,120,POL,23160
2022-01-24,2022-01-30,121,SVK,1768
2022-01-24,2022-01-30,122,SVN,1411
2022-01-24,2022-01-30,123,FIN,13139
2022-01-24,2022-01-30,124,FRA,11144
2022-01-24,2022-01-30,125,CZE,10433
2022-01-24,2022-01-30,126,CHE,2484
2022-01-24,2022-01-30,127,SWE,9825
2022-01-24,2022-01-30,159,KAZ,701279
2022-01-24,2022-01-30,167,AZE,17516
2022-01-24,2022-01-30,168,ARM,26579
2022-01-24,2022-01-30,169,GEO,16793
2022-01-24,2022-01-30,171,UZB,79298
2022-01-24,2022-01-30,179,EST,8610
2022-01-24,2022-01-30,180,SRB,10020
2022-01-24,2022-01-30,181,ISR,15441
2022-01-24,2022-01-30,204,ESP,13478
2022-01-24,2022-01-30,205,ITA,8649
2022-01-24,2022-01-30,206,LVA,10839
2022-01-24,2022-01-30,207,KGZ,71967
2022-01-24,2022-01-30,209,TJK,73556
2022-01-24,2022-01-30,210,ARE,14472
